id,parent_id,name,level
3139,40,注册土木工程师（虚拟城市工程）执业许可,3
3140,40,其他行政许可,3
3141,41,土地征收,3
3142,41,房屋征收,3
3143,41,财产征用,3
3144,42,房屋所有权登记,3
3145,42,土地使用权登记,3
3146,42,林权登记,3
3147,42,草原权登记,3
3148,42,水权登记,3
3149,42,海域使用权登记,3
3150,42,探矿权登记,3
3151,42,采矿权登记,3
3152,42,船舶登记,3
3153,42,航空器登记,3
3154,42,机动车登记,3
3155,42,企业登记,3
3156,42,个体工商户登记,3
3157,42,农民专业合作社登记,3
3158,42,其他登记,3
3159,43,工伤认定,3
3160,43,婚姻登记,3
3161,43,收养登记,3
3162,43,学历认证,3
3163,43,其他行政确认,3
